"","Year","Cane, Beet Sugar","Corn Syrup","Glucose","Dextrose","Edible Syrups","Honey"
"1",1970,282.97,1.52,29.89,12.78,1.78,3.6
"2",1971,283.97,2.29,31.15,12.9,1.79,3.21
"3",1972,284.46,3.21,33.32,12.84,1.77,3.58
"4",1973,280.34,5.73,36.34,12.85,1.79,3.21
"5",1974,266.02,7.68,38.5,12.65,1.44,2.51
"6",1975,247.94,13.57,39,12.18,1.43,3.58
"7",1976,259.68,19.95,38.62,11.53,1.45,3.29
"8",1977,261.95,26.69,38.31,10.82,1.43,3.25
"9",1978,254.28,29.94,38.75,10.25,1.45,3.86
"10",1979,248.42,41.02,37.54,9.85,1.4,3.72
"11",1980,232.56,52.71,35.95,9.61,1.57,2.95
"12",1981,220.81,63.5,35.94,9.42,1.43,3
"13",1982,204.9,74.02,35.43,9.38,1.42,3.21
"14",1983,195.48,86.77,36.16,9.45,1.44,3.54
"15",1984,185.35,103.52,36.53,9.6,1.42,3.27
"16",1985,174.44,125.61,37.49,9.75,1.44,3.14
"17",1986,166.98,127.07,37.73,9.95,1.49,3.6
"18",1987,173.47,132.67,38.46,10.1,1.61,3.06
"19",1988,172.6,136.16,39.65,10.25,1.56,2.93
"20",1989,174.51,134.03,35.68,9.84,1.52,2.38
"21",1990,179.02,137.91,37.81,10.12,1.51,2.47
"22",1991,176.79,139.89,38.97,10.15,1.5,2.61
"23",1992,178.58,144.02,42.07,9.97,0.56,2.64
"24",1993,177.47,151.42,43.81,10.28,0.55,2.83
"25",1994,178.99,156.18,44.19,10.6,0.7,3.42
"26",1995,180.53,160.15,45.41,11.02,1.01,3.23
"27",1996,180.82,159.72,45.7,11.08,2.51,3.47
"28",1997,180.42,168.66,48.18,10.42,2.14,3.39
"29",1998,180.56,172.49,47.49,10.11,2.09,3.36
"30",1999,184.34,177.3,45.43,9.72,1.99,3.78
"31",2000,182.22,173.75,43.93,9.37,2.13,3.98
"32",2001,179.25,172.91,42.99,9.15,2.53,3.37
"33",2002,175.76,173.69,42.93,9.13,2.42,3.81
"34",2003,169.21,168.16,42.25,8.58,2.55,3.59
"35",2004,171.11,165.59,43.44,9.22,2.35,3.18
"36",2005,175.08,163.49,42.45,9.03,2.28,3.76
"37",2006,172.73,160.76,38.19,8.62,2.36,4.18
"38",2007,169.98,155.28,38.07,8.26,2.22,3.34
"39",2008,180.85,146.35,37.15,7.65,2.19,3.54
"40",2009,176.2,138.04,36.01,7.54,2.11,3.28
"41",2010,183.3,134.43,35.12,8.09,2.71,3.7
"42",2011,183.18,129.8,34.01,7.95,2.35,3.88
"43",2012,185.26,127.22,34.86,7.44,2.36,3.96
"44",2013,189.05,121.55,33.45,7.29,2.52,4.14
"45",2014,190.29,120.62,33.87,8.25,2.9,4.64
"46",2015,192.25,118.24,34.17,8.24,3.08,4.62
"47",2016,193.69,115.08,34.43,7.62,2.36,4.48
"48",2017,192.66,110.74,36.41,8.23,2.42,5.12
